Timestamp,Pace
0,Low
1,Medium
2,High
3,Low
4,Medium
5,Low
6,Low
7,Low
8,Medium
9,Medium
10,Low
11,Low
12,Medium
13,Low
14,Low
15,Low
16,Low
17,Medium
18,Medium
19,Medium
20,Low
21,Medium
22,Medium
23,Medium
24,Medium
25,Medium
26,Medium
27,High
28,High
29,Low
30,Medium
31,Low
32,Medium
33,Low
34,Medium
35,Medium
36,Low
37,Medium
38,Low
39,Low
40,Medium
41,High
42,High
43,Medium
44,Medium
45,Medium
46,Medium
47,Low
48,Medium
49,Medium
50,Low
51,Low
52,Low
53,Low
54,Low
55,Medium
56,Medium
57,High
58,Medium
59,Low
60,Low
61,Low
62,Low
63,Low
64,Low
65,Medium
66,Medium
67,Low
68,Low
69,Medium
70,Medium
71,Low
72,Medium
73,Low
74,Low
75,High
76,High
77,Low
78,Medium
79,Medium
80,High
81,Medium
82,Low
83,Medium
84,Low
85,Low
86,Low
87,Low
88,Low
89,Medium
90,Medium
91,Medium
92,Medium
93,Low
94,Low
95,Medium
96,Low
97,Low
98,Low
99,Low
100,High
101,High
102,Low
103,Medium
104,High
105,Medium
106,Low
107,Medium
108,Low
109,Medium
110,Low
111,Low
112,Low
113,Medium
114,Medium
115,Low
116,Medium
117,Medium
118,Low
119,Low
120,Medium
121,Low
122,Low
123,High
124,Medium
125,Medium
126,Medium
127,High
128,Medium
129,Low
130,Low
131,High
132,Low
133,High
134,Medium
135,Low
136,Medium
137,Low
138,Medium
139,Medium
140,Low
141,High
142,Medium
143,Medium
144,Low
145,High
146,Low
147,High
148,Medium
149,Medium
150,Medium
151,Medium
152,Low
153,Low
154,High
155,Low
156,Medium
157,High
158,Medium
159,High
160,Medium
161,Low
162,Medium
163,Low
164,Medium
165,Medium
166,Low
167,Low
168,Low
169,Low
170,Medium
171,Low
172,High
173,Medium
174,Medium
175,Low
176,Low
177,Low
178,Low
179,Low
180,Low
181,Low
182,Low
183,Low
184,Low
185,Low
186,Medium
187,Medium
188,Medium
189,Low
190,Medium
191,Low
192,Medium
193,Low
194,High
195,High
196,Low
197,Low
198,Low
199,Low
200,Medium
201,Low
202,Medium
203,Low
204,Low
205,Low
206,High
207,Medium
208,Medium
209,Low
210,Low
211,Low
212,Low
213,Low
214,Medium
215,Medium
216,Low
217,Low
218,High
219,Medium
220,Medium
221,Medium
222,Low
223,Low
224,Low
225,Medium
226,Low
227,Medium
228,Medium
229,Medium
230,Low
231,Medium
232,Low
233,Low
234,Medium
235,Low
236,Medium
237,Low
238,Low
239,Low
240,Low
241,Medium
242,Medium
243,Medium
244,Medium
245,Low
246,Low
247,Low
248,Low
249,Low
250,Low
251,Low
252,Medium
253,Medium
254,Low
255,Low
256,Low
257,Low
258,Medium
259,High
260,Medium
261,Low
262,Low
263,Medium
264,Medium
265,Low
266,Medium
267,Medium
268,Low
269,Medium
270,Low
271,Medium
272,Low
273,Low
274,Medium
275,Medium
276,Low
277,Medium
278,Medium
279,Low
280,Medium
281,High
282,High
283,High
284,Medium
285,Medium
286,Medium
287,Medium
288,Medium
289,Low
290,Low
291,Medium
292,Low
293,Medium
294,Low
295,Low
296,Low
297,Low
298,Low
299,Medium
300,Medium
301,Low
302,Low
303,Medium
304,Medium
305,Medium
306,Medium
307,Medium
308,Medium
309,High
310,Low
311,Medium
312,Low
313,Medium
314,Medium
315,Medium
316,Medium
317,Low
318,Low
319,Low
320,Medium
321,Low
322,Low
323,Medium
324,Medium
325,Low
326,Low
327,Low
328,Medium
329,Low
330,Low
331,Medium
332,Medium
333,Low
334,Low
335,Medium
336,High
337,Medium
338,Medium
339,Low
340,Medium
341,Medium
342,Low
343,High
344,Low
345,Medium
346,Medium
347,Low
348,Medium
349,Medium
350,Medium
351,High
352,Low
353,Low
354,Low
355,Medium
356,Medium
357,Medium
358,Medium
359,Medium
360,Low
361,Medium
362,Low
363,Medium
364,Low
365,Low
366,Low
367,Medium
368,Medium
369,Medium
370,Low
371,Medium
372,Medium
373,Low
374,Medium
375,Medium
376,Low
377,High
378,Medium
379,High
380,Medium
381,Low
382,Medium
383,Medium
384,Medium
385,Medium
386,Medium
387,High
388,Low
389,Low
390,Low
391,Low
392,Low
393,Low
394,High
395,Medium
396,Medium
397,High
398,Low
399,High
400,Low
401,Low
402,High
403,Low
404,Medium
405,Low
406,Medium
407,Medium
408,Medium
409,Medium
410,Medium
411,Medium
412,Medium
413,Low
414,Medium
415,Low
416,Low
417,Low
418,Low
419,Medium
420,Low
421,Medium
422,Low
423,Low
424,Medium
425,Medium
426,Medium
427,Low
428,High
429,Medium
430,Medium
431,Low
432,Low
433,Low
434,Medium
435,Low
436,Medium
437,Low
438,Low
439,Medium
440,High
441,Medium
442,Low
443,Medium
444,Low
445,Low
446,Medium
447,Medium
448,Medium
449,Low
450,Low
451,Medium
452,Low
453,Medium
454,Medium
455,Low
456,Medium
457,Low
458,Medium
459,Medium
460,Low
461,Medium
462,Medium
463,Medium
464,Medium
465,Medium
466,Medium
467,Medium
468,Low
469,Low
470,High
471,High
472,Low
473,Low
474,Low
475,Medium
476,Medium
477,Low
478,Medium
479,Low
480,Medium
481,Medium
482,Medium
483,Low
484,Medium
485,Low
486,Low
487,Low
488,Medium
489,Medium
490,Medium
491,Low
492,Medium
493,Medium
494,Low
495,Medium
496,Low
497,Medium
498,Low
499,Low
500,Medium
501,Medium
502,Low
503,Low
504,Low
505,Low
506,Low
507,Medium
508,Medium
509,Medium
510,Low
511,Medium
512,Low
513,Medium
514,Low
515,Low
516,Low
517,Low
518,Medium
519,Low
520,Medium
521,Low
522,Low
523,Medium
524,Medium
525,Medium
526,Medium
527,Low
528,Low
529,Low
530,Medium
531,Medium
532,Low
533,Medium
534,Medium
535,Low
536,Low
537,Medium
538,Low
539,Medium
540,Medium
541,Low
542,High
543,Medium
544,Low
545,Medium
546,Medium
547,Low
548,Low
549,Low
550,Low
551,Medium
552,Medium
553,Low
554,Low
555,Medium
