Index,Pitch (Hz)
0,1950.7408
1,2237.5793
2,738.08563
3,2468.7173
4,2333.8164
5,1349.1823
6,959.0496
7,1046.5083
8,882.15356
9,1666.1919
10,2640.4888
11,2389.1035
12,2546.285
13,3849.0742
14,3989.0393
15,3980.35
16,3640.1797
17,3746.123
18,2301.688
19,3801.2104
20,2711.5515
21,2255.403
22,3068.2285
23,3746.5637
24,2909.0562
25,2099.3516
26,2621.1313
27,3387.5752
28,1504.7274
29,3564.4495
30,3907.281
31,2502.4
32,2661.685
33,3168.6914
34,3463.2188
35,2878.271
36,1849.6477
37,1996.0535
38,2599.4575
39,2390.19
40,2396.4993
41,3585.661
42,1716.355
43,3472.753
44,2244.124
45,3540.8154
46,2193.4211
47,3663.87
48,3710.5518
49,3139.2568
50,3960.9023
51,3693.7673
52,3810.5469
53,3914.165
54,3781.4355
55,3763.8533
56,2406.444
57,1090.777
58,2725.6277
59,3958.001
60,3582.2542
61,3545.56
62,3840.833
63,3947.1362
64,3808.9717
65,3376.5874
66,1929.7744
67,2886.899
68,2743.2468
69,2437.9783
70,3058.0625
71,3797.1582
72,3929.9536
73,3318.5085
74,3800.5195
75,3364.3655
76,1728.9052
77,3562.2188
78,3872.8513
79,3200.2966
80,3770.0588
81,2229.4353
82,3231.2773
83,2755.2803
84,3735.066
85,3881.6177
86,3953.8716
87,3976.0679
88,3908.696
89,3902.733
90,3314.0188
91,3919.1729
92,3015.2563
93,3683.4875
94,3344.1013
95,2866.913
96,3816.9531
97,3879.7668
98,3967.7393
99,3905.5806
100,3921.725
101,1653.8143
102,3710.4253
103,3268.7998
104,2022.0076
105,3868.475
106,3086.9688
107,3480.0552
108,3981.0996
109,3751.2996
110,2777.6663
111,3215.3838
112,3675.7231
113,3800.772
114,3194.3027
115,2486.2114
116,2623.0435
117,1522.8145
118,2320.873
119,2658.851
120,2715.8901
121,3914.0825
122,3434.773
123,3901.3428
124,935.13196
125,1788.6553
126,3082.0757
127,3915.0957
128,2251.9668
129,3617.3386
130,3442.2478
131,3406.8157
132,1759.2583
133,1932.2905
134,3909.129
135,3336.0972
136,3651.8496
137,2226.1396
138,2599.2717
139,3268.5789
140,2291.754
141,2161.436
142,3881.9204
143,3219.2798
144,3881.5073
145,3959.976
146,2273.3086
147,1815.8828
148,3370.8232
149,2305.2563
150,3786.2869
151,3223.9695
152,3835.686
153,3543.1045
154,3940.0356
155,2194.8281
156,2257.951
157,3366.4385
158,1682.2578
159,2228.5688
